sku,name,category,unit_of_measure,unit_cost,minimum_stock,current_stock,maximum_stock,supplier_name
LUM-001,Foco LED 18W,lighting,piece,4.50,20,85,200,ElectroPro S.A.
LUM-002,Foco LED 9W,lighting,piece,2.80,30,120,300,ElectroPro S.A.
LUM-003,Tubo fluorescente 36W,lighting,piece,3.20,15,60,150,ElectroPro S.A.
LUM-004,Luminaria de emergencia,lighting,piece,45.00,5,18,50,ElectroPro S.A.
ELE-001,Breaker 20A,electrical,piece,12.00,10,35,80,DistElec Ltda.
ELE-002,Cable eléctrico 12AWG (rollo 100m),electrical,roll,85.00,3,8,20,DistElec Ltda.
ELE-003,Cinta aislante,electrical,piece,1.20,20,75,200,DistElec Ltda.
ELE-004,Toma corriente doble,electrical,piece,5.50,15,40,100,DistElec Ltda.
PLU-001,Llave de paso 1/2",plumbing,piece,8.00,8,22,60,HidroMax S.A.
PLU-002,Tubo PVC 1/2" (3m),plumbing,piece,4.20,10,30,80,HidroMax S.A.
PLU-003,Sellador de tuberías,plumbing,unit,3.50,5,18,40,HidroMax S.A.
PLU-004,Bomba de agua 1/2 HP,plumbing,piece,180.00,1,3,8,HidroMax S.A.
LIM-001,Desinfectante multiusos (galón),cleaning_supplies,gallon,6.50,10,45,100,CleanPro
LIM-002,Jabón líquido dispensador (galón),cleaning_supplies,gallon,5.80,8,32,80,CleanPro
LIM-003,Bolsas de basura 200L (paquete x50),cleaning_supplies,pack,4.20,15,60,150,CleanPro
LIM-004,Guantes de látex (caja x100),cleaning_supplies,box,12.00,5,20,50,CleanPro
HW-001,Tornillos cabeza plana 3/8" (caja x100),hardware,box,3.50,10,28,80,FerreMall
HW-002,Taco Fisher #8 (bolsa x50),hardware,bag,2.20,10,35,100,FerreMall
HW-003,Candado 40mm,hardware,piece,8.50,5,14,40,FerreMall
HW-004,Bisagra 3" (par),hardware,pair,2.80,10,30,80,FerreMall
COM-001,Aceite de motor 15W40 (galón),fuel,gallon,14.00,10,38,80,PetroServ
COM-002,Filtro de aceite generador,fuel,piece,18.00,4,10,30,PetroServ
SEG-001,Extintor CO2 5kg,safety,piece,65.00,4,12,20,SafeGuard S.A.
SEG-002,Casco de seguridad,safety,piece,15.00,6,20,40,SafeGuard S.A.
SEG-003,Chaleco reflectivo,safety,piece,9.00,8,25,50,SafeGuard S.A.
PIN-001,Pintura látex blanco (galón),paint,gallon,12.00,5,18,50,PintaCentro
PIN-002,Pintura esmalte gris (galón),paint,gallon,14.00,4,12,40,PintaCentro
PIN-003,Rodillo de pintura 9",paint,piece,4.50,6,20,60,PintaCentro
HVAC-001,Filtro de aire acondicionado 24x24,hvac,piece,8.50,8,24,60,ClimaTech
HVAC-002,Gas refrigerante R-410A (libra),hvac,pound,22.00,5,15,40,ClimaTech
